"","price","date_sold","suburb","num_bath","num_bed","num_parking","property_size","type","suburb_population","suburb_median_income","suburb_sqkm","suburb_lat","suburb_lng","suburb_elevation","cash_rate","property_inflation_index","km_from_cbd","year","type_grouped","price_per_size"
"208",960000,2016-04-21,"Como",2,4,2,784,"House",3977,49296,1.598,-34.00258,151.0648,42,2,155.2,20.31,"2016","House",1224.48979591837
"209",665000,2016-04-21,"Kingswood",1,6,6,676,"House",9301,33228,4.782,-33.76129,150.72784,42,2,155.2,46.09,"2016","House",983.727810650888
"210",1400000,2016-04-22,"Petersham",2,3,3,247,"House",8116,52884,1.287,-33.89452,151.1556,41,2,155.2,5.99,"2016","House",5668.01619433198
"211",1175000,2016-04-22,"Mannering Park",3,3,6,687,"House",2472,28964,7.129,-33.16376,151.5404,7,2,155.2,83.63,"2016","House",1710.33478893741
"212",1059000,2016-04-22,"Ermington",2,4,3,552,"House",10737,33644,4.135,-33.8105,151.06162,40,2,155.2,15,"2016","House",1918.47826086957
"213",750000,2016-04-22,"Sefton",1,3,0,540,"House",5808,24700,1.815,-33.88742,151.0104,39,2,155.2,18.62,"2016","House",1388.88888888889
"214",575000,2016-04-22,"Bensville",2,4,0,746,"House",2545,36764,4.925,-33.49914,151.39045,27,2,155.2,43.91,"2016","House",770.777479892761
"215",454000,2016-04-22,"Oran Park",0,0,0,540,"Vacant land",4765,50336,13.744,-33.99074,150.74247,81,2,155.2,45.41,"2016","others",840.740740740741
"216",375000,2016-04-22,"Wyong",1,2,1,465,"House",4326,25480,11.434,-33.27889,151.43056,3,2,155.2,68.18,"2016","House",806.451612903226
"217",2455000,2016-04-23,"Taren Point",2,4,2,915,"House",1734,36296,1.359,-34.01833,151.12465,8,2,155.2,18.73,"2016","House",2683.06010928962
"218",2155000,2016-04-23,"Carss Park",2,4,2,605,"House",1252,36816,0.63,-33.98679,151.11717,22,2,155.2,15.99,"2016","House",3561.98347107438
"219",1330000,2016-04-23,"Pennant Hills",2,3,1,929,"House",7287,43472,6.123,-33.73636,151.07741,168,2,155.2,18.83,"2016","House",1431.64693218515
"220",910000,2016-04-23,"Rouse Hill",2,5,2,700,"House",7965,45812,10.638,-33.67757,150.91278,45,2,155.2,34.5,"2016","House",1300
"221",871000,2016-04-23,"Bossley Park",2,3,2,563,"House",14585,25012,4.536,-33.86202,150.88392,56,2,155.2,30.17,"2016","House",1547.06927175844
"222",595000,2016-04-23,"Riverstone",1,3,1,692,"House",7247,36764,22.465,-33.66886,150.85969,28,2,155.2,39.07,"2016","House",859.826589595376
"223",365000,2016-04-23,"Bardia",0,0,0,280,"New land",1602,47788,2.11,-33.9773,150.86232,64,2,155.2,34.46,"2016","others",1303.57142857143
"224",1820000,2016-04-26,"East Killara",2,4,2,835,"House",2978,38428,3.19,-33.75738,151.18183,78,2,155.2,12.23,"2016","House",2179.64071856287
"225",1160000,2016-04-26,"Lewisham",1,3,1,242,"House",3164,48204,0.642,-33.8953,151.14668,25,2,155.2,6.74,"2016","House",4793.38842975207
"226",1330000,2016-04-27,"Petersham",1,3,0,234,"House",8116,52884,1.287,-33.89452,151.1556,41,2,155.2,5.99,"2016","House",5683.76068376068
"227",840000,2016-04-27,"Bossley Park",3,4,2,605,"House",14585,25012,4.536,-33.86202,150.88392,56,2,155.2,30.17,"2016","House",1388.42975206612
"228",410000,2016-04-27,"Oran Park",0,0,0,450,"Vacant land",4765,50336,13.744,-33.99074,150.74247,81,2,155.2,45.41,"2016","others",911.111111111111
"229",1865000,2016-04-28,"Homebush West",2,4,2,702,"House",8609,35412,1.235,-33.86291,151.06711,22,2,155.2,13.21,"2016","House",2656.69515669516
"230",1080000,2016-04-28,"Rouse Hill",2,4,2,700,"House",7965,45812,10.638,-33.67757,150.91278,45,2,155.2,34.5,"2016","House",1542.85714285714
"231",780000,2016-04-28,"Bossley Park",2,3,2,570,"House",14585,25012,4.536,-33.86202,150.88392,56,2,155.2,30.17,"2016","House",1368.42105263158
"232",770888,2016-04-28,"Wyong",2,5,3,1367,"House",4326,25480,11.434,-33.27889,151.43056,3,2,155.2,68.18,"2016","House",563.926847110461
"233",860000,2016-04-29,"Bossley Park",2,4,2,590,"House",14585,25012,4.536,-33.86202,150.88392,56,2,155.2,30.17,"2016","House",1457.62711864407
"234",1580000,2016-04-30,"Petersham",2,3,1,237,"House",8116,52884,1.287,-33.89452,151.1556,41,2,155.2,5.99,"2016","House",6666.66666666667
"235",1510000,2016-04-30,"Petersham",1,4,0,177,"House",8116,52884,1.287,-33.89452,151.1556,41,2,155.2,5.99,"2016","House",8531.07344632768
"236",988000,2016-04-30,"Como",1,2,2,575,"House",3977,49296,1.598,-34.00258,151.0648,42,2,155.2,20.31,"2016","House",1718.26086956522
"237",985000,2016-04-30,"Bossley Park",3,4,2,600,"House",14585,25012,4.536,-33.86202,150.88392,56,2,155.2,30.17,"2016","House",1641.66666666667
"238",735500,2016-04-30,"Bossley Park",2,4,1,585,"House",14585,25012,4.536,-33.86202,150.88392,56,2,155.2,30.17,"2016","House",1257.26495726496
"239",1275000,2016-05-13,"Yattalunga",4,5,4,1100,"House",551,37076,0.785,-33.46838,151.36601,23,1.77,155.2,46.33,"2016","House",1159.09090909091
"240",1140000,2016-05-13,"Rouse Hill",3,5,2,700,"House",7965,45812,10.638,-33.67757,150.91278,45,1.77,155.2,34.5,"2016","House",1628.57142857143
"241",746000,2016-05-13,"Narellan Vale",2,5,2,620,"House",7193,40352,2.481,-34.05177,150.74372,98,1.77,155.2,47.8,"2016","House",1203.22580645161
"242",570000,2016-05-13,"South Penrith",1,3,2,633,"House",11790,37024,5.06,-33.7734,150.69863,50,1.77,155.2,48.41,"2016","House",900.473933649289
"243",522000,2016-05-13,"Bensville",1,3,3,751,"House",2545,36764,4.925,-33.49914,151.39045,27,1.77,155.2,43.91,"2016","House",695.073235685752
"244",500000,2016-05-13,"Wyong",2,3,2,848,"House",4326,25480,11.434,-33.27889,151.43056,3,1.77,155.2,68.18,"2016","House",589.622641509434
"245",397000,2016-05-13,"Budgewoi",1,3,1,332,"House",3360,29120,2.814,-33.23957,151.56058,3,1.77,155.2,76.65,"2016","House",1195.78313253012
"246",1675000,2016-05-14,"Balgowlah Heights",1,3,1,417,"House",3342,59228,1.684,-33.8077,151.26552,79,1.77,155.2,8.19,"2016","House",4016.78657074341
"247",1475000,2016-05-14,"West Pymble",1,2,2,850,"House",5298,48672,3.684,-33.76365,151.12999,80,1.77,155.2,13.47,"2016","House",1735.29411764706
"248",756000,2016-05-14,"Edensor Park",2,3,2,572,"House",9772,25376,3.096,-33.87884,150.87759,56,1.77,155.2,30.78,"2016","House",1321.67832167832
"249",597000,2016-05-14,"Petersham",1,1,1,61,"Apartment / Unit / Flat",8116,52884,1.287,-33.89452,151.1556,41,1.77,155.2,5.99,"2016","Apartment / Unit / Flat",9786.88524590164
"250",550000,2016-05-15,"Bradbury",2,3,2,696,"House",8800,31980,3.734,-34.08405,150.81805,126,1.77,155.2,43.6,"2016","House",790.229885057471
"251",1045000,2016-05-16,"Forresters Beach",3,4,2,664,"House",2900,35932,2.768,-33.40857,151.46938,47,1.77,155.2,56.07,"2016","House",1573.79518072289
"252",1010000,2016-05-16,"Bondi",1,2,1,81,"Apartment / Unit / Flat",10045,57356,0.865,-33.89314,151.26703,61,1.77,155.2,6.13,"2016","Apartment / Unit / Flat",12469.1358024691
"253",851000,2016-05-16,"Como",1,2,1,629,"House",3977,49296,1.598,-34.00258,151.0648,42,1.77,155.2,20.31,"2016","House",1352.94117647059
"254",1315000,2016-05-17,"Sandy Point",4,5,4,650,"House",590,48880,0.399,-33.97576,150.99327,32,1.77,155.2,23.49,"2016","House",2023.07692307692
"255",1070000,2016-05-17,"Wagstaffe",2,4,6,641,"House",222,41964,0.398,-33.52349,151.34031,47,1.77,155.2,39.78,"2016","House",1669.26677067083
"256",790000,2016-05-17,"Oran Park",2,4,2,450,"House",4765,50336,13.744,-33.99074,150.74247,81,1.77,155.2,45.41,"2016","House",1755.55555555556
"257",630000,2016-05-17,"South Penrith",2,4,2,629,"House",11790,37024,5.06,-33.7734,150.69863,50,1.77,155.2,48.41,"2016","House",1001.58982511924
"258",500000,2016-05-17,"Budgewoi",2,4,2,563,"House",3360,29120,2.814,-33.23957,151.56058,3,1.77,155.2,76.65,"2016","House",888.09946714032
"259",405000,2016-05-17,"Oran Park",0,0,0,450,"Vacant land",4765,50336,13.744,-33.99074,150.74247,81,1.77,155.2,45.41,"2016","others",900
"260",2000000,2016-05-18,"Kyle Bay",2,6,4,778,"House",1035,47528,0.369,-33.98937,151.10096,12,1.77,155.2,17.07,"2016","House",2570.6940874036
"261",1440000,2016-05-18,"Narraweena",1,3,4,645,"House",6608,34008,1.776,-33.75,151.27239,83,1.77,155.2,14.02,"2016","House",2232.55813953488
"262",390000,2016-05-18,"Wiley Park",1,2,1,88,"Apartment / Unit / Flat",10126,23036,1.362,-33.9234,151.06765,39,1.77,155.2,14.66,"2016","Apartment / Unit / Flat",4431.81818181818
"263",820000,2016-05-19,"Oran Park",2,4,2,540,"House",4765,50336,13.744,-33.99074,150.74247,81,1.77,155.2,45.41,"2016","House",1518.51851851852
"264",675000,2016-05-19,"The Ponds",0,0,0,455,"Vacant land",11731,53716,4.654,-33.70612,150.90622,54,1.77,155.2,33.2,"2016","others",1483.51648351648
"265",455000,2016-05-19,"Riverstone",0,0,0,1669,"Vacant land",7247,36764,22.465,-33.66886,150.85969,28,1.77,155.2,39.07,"2016","others",272.618334331935
"266",1430000,2016-05-20,"Point Piper",1,2,1,90,"Apartment / Unit / Flat",1424,88816,0.386,-33.86505,151.25332,11,1.77,155.2,4.02,"2016","Apartment / Unit / Flat",15888.8888888889
"267",1254000,2016-05-20,"Como",1,3,2,638,"House",3977,49296,1.598,-34.00258,151.0648,42,1.77,155.2,20.31,"2016","House",1965.51724137931
"268",785000,2016-05-20,"Forresters Beach",3,4,2,651,"House",2900,35932,2.768,-33.40857,151.46938,47,1.77,155.2,56.07,"2016","House",1205.83717357911
"269",725000,2016-05-20,"Edensor Park",1,4,3,568,"House",9772,25376,3.096,-33.87884,150.87759,56,1.77,155.2,30.78,"2016","House",1276.40845070423
"270",700000,2016-05-20,"Doonside",2,4,2,600,"House",13451,27612,5.958,-33.76242,150.87007,44,1.77,155.2,33.46,"2016","House",1166.66666666667
"271",510000,2016-05-20,"Forresters Beach",1,2,1,721,"House",2900,35932,2.768,-33.40857,151.46938,47,1.77,155.2,56.07,"2016","House",707.350901525659
"272",1805000,2016-05-21,"Botany",3,5,2,413,"House",10817,46800,3.211,-33.94907,151.19881,6,1.77,155.2,9.37,"2016","House",4370.46004842615
"273",1435000,2016-05-21,"Narraweena",2,3,1,556,"House",6608,34008,1.776,-33.75,151.27239,83,1.77,155.2,14.02,"2016","House",2580.93525179856
"274",545000,2016-05-21,"Waitara",1,1,1,99,"Apartment / Unit / Flat",5941,43524,0.762,-33.70949,151.1061,182,1.77,155.2,19.76,"2016","Apartment / Unit / Flat",5505.05050505051
"275",2300000,2016-05-23,"Blackwall",3,4,2,960,"House",1888,31148,1.143,-33.50518,151.33518,80,1.77,155.2,41.58,"2016","House",2395.83333333333
"276",675000,2016-05-23,"Oran Park",2,4,2,400,"House",4765,50336,13.744,-33.99074,150.74247,81,1.77,155.2,45.41,"2016","House",1687.5
"277",570000,2016-05-23,"Bensville",2,3,1,538,"House",2545,36764,4.925,-33.49914,151.39045,27,1.77,155.2,43.91,"2016","House",1059.47955390335
"278",377000,2016-05-23,"Oran Park",0,0,0,437,"Vacant land",4765,50336,13.744,-33.99074,150.74247,81,1.77,155.2,45.41,"2016","others",862.700228832952
"279",1450000,2016-05-25,"Botany",1,3,1,468,"House",10817,46800,3.211,-33.94907,151.19881,6,1.77,155.2,9.37,"2016","House",3098.2905982906
"280",1250000,2016-05-25,"Pennant Hills",1,4,2,676,"House",7287,43472,6.123,-33.73636,151.07741,168,1.77,155.2,18.83,"2016","House",1849.1124260355
"281",1120000,2016-05-25,"Lurnea",1,3,2,1208,"House",9311,22724,2.504,-33.93623,150.89729,34,1.77,155.2,29.97,"2016","House",927.152317880795
"282",970000,2016-05-25,"The Ponds",2,4,2,465,"House",11731,53716,4.654,-33.70612,150.90622,54,1.77,155.2,33.2,"2016","House",2086.02150537634
"283",825000,2016-05-25,"Oran Park",2,4,2,544,"House",4765,50336,13.744,-33.99074,150.74247,81,1.77,155.2,45.41,"2016","House",1516.54411764706
"284",1900000,2016-05-26,"Penshurst",3,4,3,565,"House",12786,34684,2.516,-33.96482,151.08475,62,1.77,155.2,16.01,"2016","House",3362.83185840708
"285",1880080,2016-05-26,"Castle Cove",2,4,2,765,"House",2554,50856,2.343,-33.78592,151.21481,78,1.77,155.2,8.8,"2016","House",2457.62091503268
"286",1605500,2016-05-27,"East Lindfield",2,3,1,836,"House",3711,47788,2.331,-33.76741,151.18832,107,1.77,155.2,11.02,"2016","House",1920.45454545455
"287",1440000,2016-05-27,"Magenta",3,4,2,646,"House",205,46072,6.46,-33.30304,151.53201,16,1.77,155.2,69.15,"2016","House",2229.10216718266
"288",1250000,2016-05-27,"The Ponds",2,5,2,593,"House",11731,53716,4.654,-33.70612,150.90622,54,1.77,155.2,33.2,"2016","House",2107.9258010118
"289",1200000,2016-05-27,"Rouse Hill",3,4,2,880,"House",7965,45812,10.638,-33.67757,150.91278,45,1.77,155.2,34.5,"2016","House",1363.63636363636
"290",820000,2016-05-27,"Mount Druitt",1,3,1,651,"House",16726,26000,6.256,-33.76791,150.8136,48,1.77,155.2,38.24,"2016","House",1259.60061443932
"291",773500,2016-05-27,"Riverstone",1,3,1,1012,"House",7247,36764,22.465,-33.66886,150.85969,28,1.77,155.2,39.07,"2016","House",764.328063241107
"292",700000,2016-05-27,"Ingleburn",1,4,1,645,"House",15039,33124,12.454,-34.0051,150.8581,41,1.77,155.2,36.04,"2016","House",1085.27131782946
"293",576000,2016-05-27,"South Penrith",1,4,1,645,"House",11790,37024,5.06,-33.7734,150.69863,50,1.77,155.2,48.41,"2016","House",893.023255813953
"294",1785000,2016-05-28,"Putney",1,3,1,670,"House",4107,44876,1.508,-33.8268,151.10602,35,1.77,155.2,10.51,"2016","House",2664.17910447761
"295",1650000,2016-05-28,"Eastwood",2,3,1,556,"House",17865,30368,5.194,-33.78849,151.08514,75,1.77,155.2,14.34,"2016","House",2967.62589928058
"296",1633000,2016-05-28,"East Killara",3,4,2,864,"House",2978,38428,3.19,-33.75738,151.18183,78,1.77,155.2,12.23,"2016","House",1890.0462962963
"297",1620000,2016-05-28,"Narraweena",2,4,1,613,"House",6608,34008,1.776,-33.75,151.27239,83,1.77,155.2,14.02,"2016","House",2642.74061990212
"298",1265000,2016-05-28,"Eastwood",1,5,1,664,"House",17865,30368,5.194,-33.78849,151.08514,75,1.77,155.2,14.34,"2016","House",1905.12048192771
"299",1070000,2016-05-28,"Fairfield Heights",3,6,1,758,"House",7517,20696,1.474,-33.86713,150.94148,34,1.77,155.2,24.84,"2016","House",1411.60949868074
"300",2650000,2016-05-30,"Tempe",2,3,4,436,"House",3556,41600,1.854,-33.92488,151.16476,12,1.77,155.2,7.83,"2016","House",6077.98165137615
"301",1855000,2016-05-30,"Russell Lea",2,4,1,443,"House",5001,47684,1.02,-33.85841,151.14202,20,1.77,155.2,6.33,"2016","House",4187.35891647856
"302",1650000,2016-05-30,"Darlinghurst",2,5,0,117,"House",11320,66820,0.857,-33.8794,151.22078,50,1.77,155.2,1.87,"2016","House",14102.5641025641
"303",925000,2016-05-30,"The Ponds",2,4,2,295,"New House & Land",11731,53716,4.654,-33.70612,150.90622,54,1.77,155.2,33.2,"2016","others",3135.59322033898
"304",838500,2016-05-30,"Rouse Hill",2,3,1,300,"House",7965,45812,10.638,-33.67757,150.91278,45,1.77,155.2,34.5,"2016","House",2795
"305",695000,2016-05-30,"Ingleburn",2,5,1,556,"House",15039,33124,12.454,-34.0051,150.8581,41,1.77,155.2,36.04,"2016","House",1250
"306",405000,2016-05-30,"Oran Park",0,0,0,420,"Vacant land",4765,50336,13.744,-33.99074,150.74247,81,1.77,155.2,45.41,"2016","others",964.285714285714
"307",350000,2016-05-30,"Darlinghurst",1,0,0,29,"Apartment / Unit / Flat",11320,66820,0.857,-33.8794,151.22078,50,1.77,155.2,1.87,"2016","Apartment / Unit / Flat",12068.9655172414
"308",955000,2016-05-31,"Rouse Hill",2,5,2,571,"House",7965,45812,10.638,-33.67757,150.91278,45,1.77,155.2,34.5,"2016","House",1672.50437828371
"309",440000,2016-05-31,"Ingleburn",1,3,1,92,"Villa",15039,33124,12.454,-34.0051,150.8581,41,1.77,155.2,36.04,"2016","others",4782.60869565217
"310",935000,2016-06-14,"Woodcroft",3,5,2,500,"House",6440,40768,1.693,-33.75523,150.88065,38,1.75,159.3,32.83,"2016","House",1870
"311",4000000,2016-06-15,"Lane Cove North",1,3,2,1163,"House",11436,57408,2.363,-33.8057,151.16111,56,1.75,159.3,7.99,"2016","House",3439.38091143594
"312",2650000,2016-06-15,"Bondi",2,4,2,400,"House",10045,57356,0.865,-33.89314,151.26703,61,1.75,159.3,6.13,"2016","House",6625
"313",2000000,2016-06-15,"Lane Cove North",1,2,2,556,"House",11436,57408,2.363,-33.8057,151.16111,56,1.75,159.3,7.99,"2016","House",3597.12230215827
"314",605000,2016-06-15,"Casula",1,3,1,665,"House",15662,30368,7.072,-33.95198,150.89671,44,1.75,159.3,30.52,"2016","House",909.774436090226
